,Gallery Number,Title,Department,Culture,Artist Display Name,Artist Begin Date,Artist End Date,Medium,data
116656,536,Striding Pan,European Sculpture and Decorative Arts,"Italian, Padua","Andrea Briosco, called Riccio",1470      ,1532      ,Bronze,"European Sculpture and Decorative Arts Italian, Padua Andrea Briosco, called Riccio 1470       1532       Bronze"
116668,539,Mechanical table,European Sculpture and Decorative Arts,French,"Jean-François Oeben|Roger Vandercruse, called Lacroix",1721      |1727      ,1763      |1799      ,"Oak veneered with mahogany, kingwood, and tulipwood, with marquetry of mahogany, rosewood, holly, and various other woods; gilt-bronze mounts; imitation Japanese lacquer; replaced silk","European Sculpture and Decorative Arts French Jean-François Oeben|Roger Vandercruse, called Lacroix 1721      |1727       1763      |1799       Oak veneered with mahogany, kingwood, and tulipwood, with marquetry of mahogany, rosewood, holly, and various other woods; gilt-bronze mounts; imitation Japanese lacquer; replaced silk"
116681,539,Commode à vantaux,European Sculpture and Decorative Arts,"German, Neuwied am Rhein",David Roentgen|Januarius Zick|Elie Gervais|Pierre Rémond,1743      |1730      |1721      |1747      ,1807      |1797      |1791      |1812      ,"Oak, pine, walnut, mahogany, and cherry veneered with hornbeam (partially stained), tulipwood, walnut, holly and maple (both partially stained), boxwood, mahogany, and other woods; red brocatelle marble; gilt bronze; iron, steel, and brass","European Sculpture and Decorative Arts German, Neuwied am Rhein David Roentgen|Januarius Zick|Elie Gervais|Pierre Rémond 1743      |1730      |1721      |1747       1807      |1797      |1791      |1812       Oak, pine, walnut, mahogany, and cherry veneered with hornbeam (partially stained), tulipwood, walnut, holly and maple (both partially stained), boxwood, mahogany, and other woods; red brocatelle marble; gilt bronze; iron, steel, and brass"
116682,542,Commode,European Sculpture and Decorative Arts,French,André Charles Boulle,1642      ,1732      ,"Walnut veneered with ebony, marquetry of engraved brass and tortoiseshell, gilt-bronze mounts, verd antique marble","European Sculpture and Decorative Arts French André Charles Boulle 1642       1732       Walnut veneered with ebony, marquetry of engraved brass and tortoiseshell, gilt-bronze mounts, verd antique marble"
116724,537,Hercules and Achelous,European Sculpture and Decorative Arts,probably Austrian,Master of the Martyrdom of St. Sebastian,          ,          ,Ivory,European Sculpture and Decorative Arts probably Austrian Master of the Martyrdom of St. Sebastian                       Ivory
117073,500,Sprite,European Sculpture and Decorative Arts,"Italian, Florence",Donatello,1386      ,1466      ,"Bronze, fire-gilt","European Sculpture and Decorative Arts Italian, Florence Donatello 1386       1466       Bronze, fire-gilt"
117337,531,Small desk with folding top (bureau brisé),European Sculpture and Decorative Arts,"French, Paris",Alexandre-Jean Oppenordt|Jean Berain,1639      |1640      ,1715      |1711      ,"Oak, pine, walnut veneered with ebony, rosewood, and marquetry of tortoiseshell and engraved brass; gilt bronze and steel","European Sculpture and Decorative Arts French, Paris Alexandre-Jean Oppenordt|Jean Berain 1639      |1640       1715      |1711       Oak, pine, walnut veneered with ebony, rosewood, and marquetry of tortoiseshell and engraved brass; gilt bronze and steel"
117419,516,Spoon holder,European Sculpture and Decorative Arts,"British, Birmingham or London",Hukin & Heath|Christopher Dresser,1855      |1834      ,1953      |1904      ,"Silver-plated brass, ebony","European Sculpture and Decorative Arts British, Birmingham or London Hukin & Heath|Christopher Dresser 1855      |1834       1953      |1904       Silver-plated brass, ebony"
117460,556,Cabinet,European Sculpture and Decorative Arts,"French, Paris",Charles-Guillaume Diehl|Emmanuel Frémiet|Jean Brandely,1811      |1824      |1855      ,1885      |1910      |1867      ,"Oak veneered with cedar, walnut, ebony and ivory; silvered-bronze mounts","European Sculpture and Decorative Arts French, Paris Charles-Guillaume Diehl|Emmanuel Frémiet|Jean Brandely 1811      |1824      |1855       1885      |1910      |1867       Oak veneered with cedar, walnut, ebony and ivory; silvered-bronze mounts"
117797,550,"Ferdinando de' Medici, Grand Prince of Tuscany",European Sculpture and Decorative Arts,"Italian, Florence",Giovanni Battista Foggini,1652      ,1725      ,"Marble, gray marble","European Sculpture and Decorative Arts Italian, Florence Giovanni Battista Foggini 1652       1725       Marble, gray marble"
118171,551,Cabinet on stand,European Sculpture and Decorative Arts,"Dutch, Amsterdam",Jan van Mekeren,1658      ,1733      ,"Oak veneered with rosewood, olivewood, ebony, holly, tulipwood, barberry and other partly green-stained marquetry woods","European Sculpture and Decorative Arts Dutch, Amsterdam Jan van Mekeren 1658       1733       Oak veneered with rosewood, olivewood, ebony, holly, tulipwood, barberry and other partly green-stained marquetry woods"
118344,199,Lion (one of a pair),European Sculpture and Decorative Arts,"German, Meissen",Meissen Manufactory|Johann Gottlieb Kirchner,1710      |1706      ,9999      |1738      ,Hard-paste porcelain,"European Sculpture and Decorative Arts German, Meissen Meissen Manufactory|Johann Gottlieb Kirchner 1710      |1706       9999      |1738       Hard-paste porcelain"
118512,544,"Henri d'Albret (1503–55), King of Navarre",European Sculpture and Decorative Arts,"French, Limoges",Léonard Limosin,1505      ,1577      ,"Enamel, painted on copper and partly gilded","European Sculpture and Decorative Arts French, Limoges Léonard Limosin 1505       1577       Enamel, painted on copper and partly gilded"
118539,533,Settee (one of a pair) (part of a set),European Sculpture and Decorative Arts,"German, Würzberg",Johann Michael Bauer,1710      ,1779      ,"Carved, painted and gilded linden wood; squab pillow in silk velvet (not original)","European Sculpture and Decorative Arts German, Würzberg Johann Michael Bauer 1710       1779       Carved, painted and gilded linden wood; squab pillow in silk velvet (not original)"
118733,514,Tapestry Room from Croome Court,European Sculpture and Decorative Arts,"British, Worcestershire with French, Paris (Gobelins) tapestry",Joseph Rose|François Boucher|Manufacture Nationale des Gobelins|Maurice Jacques|Louis Tessier|John Mayhew|William Ince|Jacques Neilson|Jacques Germain Soufflot|Joseph Wilton|John Wildsmith|Thomas Blockley|Sefferin Alken|Peter Langlois|John Hobcraft|Ince and Mayhew|Robert Adam,1745      |1703      |1662      |1712      |1719      |1736      |1704      |1714      |1713      |1722      |1757      |1700      |1688      |1759      |1700      |1758      |1728      ,1799      |1770      |1799      |1784      |1781      |1811      |1804      |1788      |1780      |1803      |1769      |1800      |1788      |1781      |1800      |1811      |1792      ,"Plaster, pine, mahogany, bronze-gilt, marble, lapis lazuli, steel; wool and silk (22-24 warps per inch, 9-10 per centimeter)","European Sculpture and Decorative Arts British, Worcestershire with French, Paris (Gobelins) tapestry Joseph Rose|François Boucher|Manufacture Nationale des Gobelins|Maurice Jacques|Louis Tessier|John Mayhew|William Ince|Jacques Neilson|Jacques Germain Soufflot|Joseph Wilton|John Wildsmith|Thomas Blockley|Sefferin Alken|Peter Langlois|John Hobcraft|Ince and Mayhew|Robert Adam 1745      |1703      |1662      |1712      |1719      |1736      |1704      |1714      |1713      |1722      |1757      |1700      |1688      |1759      |1700      |1758      |1728       1799      |1770      |1799      |1784      |1781      |1811      |1804      |1788      |1780      |1803      |1769      |1800      |1788      |1781      |1800      |1811      |1792       Plaster, pine, mahogany, bronze-gilt, marble, lapis lazuli, steel; wool and silk (22-24 warps per inch, 9-10 per centimeter)"
120267,553,Center table,European Sculpture and Decorative Arts,"Russian, Tula","Imperial Armory, Tula (south of Moscow), Russia",          ,          ,"Steel, silver, gilt copper, gilt brass, basswood; replaced mirror glass","European Sculpture and Decorative Arts Russian, Tula Imperial Armory, Tula (south of Moscow), Russia                       Steel, silver, gilt copper, gilt brass, basswood; replaced mirror glass"
120331,548,Marsyas,European Sculpture and Decorative Arts,"German, executed Rome or Florence",Balthasar Permoser,1651      ,1732      ,Marble on a black marble socle inlaid with light marble panels,"European Sculpture and Decorative Arts German, executed Rome or Florence Balthasar Permoser 1651       1732       Marble on a black marble socle inlaid with light marble panels"
137625,551,Toilet set in original leather case,European Sculpture and Decorative Arts,"German, Augsburg",Fourteen identified German (Augsburg) goldsmiths and other German artisans; Japanese (Imari) porcelain maker,          ,          ,"Gilt silver, hard-paste porcelain, cut glass, walnut, carved and partially gilt coniferous wood, blind-tooled and partially gilt leather, partially gilt steel and iron, textiles, moiré paper, hog's bristle","European Sculpture and Decorative Arts German, Augsburg Fourteen identified German (Augsburg) goldsmiths and other German artisans; Japanese (Imari) porcelain maker                       Gilt silver, hard-paste porcelain, cut glass, walnut, carved and partially gilt coniferous wood, blind-tooled and partially gilt leather, partially gilt steel and iron, textiles, moiré paper, hog's bristle"
137858,556,Monumental vase,European Sculpture and Decorative Arts,"French, Saint-Amand-en-Puisaye",Georges Hoentschel|Emile Grittel,1855      |1870      ,1915      |1953      ,Glazed stoneware,"European Sculpture and Decorative Arts French, Saint-Amand-en-Puisaye Georges Hoentschel|Emile Grittel 1855      |1870       1915      |1953       Glazed stoneware"
138219,536,Rothschild Lamp,European Sculpture and Decorative Arts,"Italian, Padua","Andrea Briosco, called Riccio",1470      ,1532      ,"Bronze, on a later wood base","European Sculpture and Decorative Arts Italian, Padua Andrea Briosco, called Riccio 1470       1532       Bronze, on a later wood base"
138240,616,A Hypocrite and a Slanderer,European Sculpture and Decorative Arts,"Austrian, probably Pressburg (Bratislava)",Franz Xaver Messerschmidt,1736      ,1783      ,Tin alloy,"European Sculpture and Decorative Arts Austrian, probably Pressburg (Bratislava) Franz Xaver Messerschmidt 1736       1783       Tin alloy"
138242,509,Hunters in a Landscape,European Sculpture and Decorative Arts,"British, probably London","Jost Amman|Anonymous Flemish weavers|Anonymous, 16th century",1539      |          |1500      ,1591      |          |1600      ,"Wool, silk (14 warps per inch; 5-6 per cm)","European Sculpture and Decorative Arts British, probably London Jost Amman|Anonymous Flemish weavers|Anonymous, 16th century 1539      |          |1500       1591      |          |1600       Wool, silk (14 warps per inch; 5-6 per cm)"
146378,153,Marble statue of Eirene (the personification of peace),Greek and Roman Art,Roman,Kephisodotos,          ,          ,"Marble, Pentelic ?","Greek and Roman Art Roman Kephisodotos                       Marble, Pentelic ?"
147107,157,Terracotta pyxis (box),Greek and Roman Art,"Greek, Attic",Penthesilea Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Penthesilea Painter                       Terracotta"
147154,153,Terracotta volute-krater (bowl for mixing wine and water),Greek and Roman Art,"Greek, Attic",Painter of the Woolly Satyrs,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Painter of the Woolly Satyrs                       Terracotta"
148055,153,Terracotta Panathenaic prize amphora,Greek and Roman Art,"Greek, Attic",Euphiletos Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Euphiletos Painter                       Terracotta"
148057,150,Terracotta krater,Greek and Roman Art,"Greek, Attic",Hirschfeld Workshop,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Hirschfeld Workshop                       Terracotta"
149662,155,Terracotta neck-amphora (jar) with lid and knob (27.16),Greek and Roman Art,"Greek, Attic",Exekias,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Exekias                       Terracotta"
150601,161,Terracotta calyx-krater (mixing bowl),Greek and Roman Art,"Greek, South Italian, Lucanian",Dolon Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, South Italian, Lucanian Dolon Painter                       Terracotta"
150900,153,Fragments of a marble statue of the Diadoumenos (youth tying a fillet around his head),Greek and Roman Art,Roman,Polykleitos,          ,          ,Marble,Greek and Roman Art Roman Polykleitos                       Marble
151479,155,Terracotta aryballos (oil flask),Greek and Roman Art,"Greek, Attic",Nearchos,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Nearchos                       Terracotta"
151990,153,Terracotta bell-krater (bowl for mixing wine and water),Greek and Roman Art,"Greek, Attic",Persephone Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Persephone Painter                       Terracotta"
152353,157,Chalcedony scaraboid,Greek and Roman Art,Greek,Epimenes,          ,          ,Chalcedony,Greek and Roman Art Greek Epimenes                       Chalcedony
152357,154,Terracotta lekythos (oil flask),Greek and Roman Art,"Greek, Attic",Amasis Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Amasis Painter                       Terracotta"
152358,155,Terracotta column-krater (bowl for mixing wine and water),Greek and Roman Art,"Greek, Attic",Lydos,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Lydos                       Terracotta"
152360,159,Terracotta lekythos (oil flask),Greek and Roman Art,"Greek, Attic",Eretria Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Eretria Painter                       Terracotta"
153615,160,Terracotta column-krater (bowl for mixing wine and water),Greek and Roman Art,"Greek, South Italian, Apulian",Group of Boston 00.348,          ,          ,Terracotta,"Greek and Roman Art Greek, South Italian, Apulian Group of Boston 00.348                       Terracotta"
153802,154,Terracotta lekythos (oil flask),Greek and Roman Art,"Greek, Attic",Amasis Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Amasis Painter                       Terracotta"
153853,157,Terracotta amphora (jar),Greek and Roman Art,"Greek, Attic",Berlin Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Berlin Painter                       Terracotta"
153880,161,Terracotta situla (bucket),Greek and Roman Art,"Greek, South Italian, Apulian",Lycurgus Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, South Italian, Apulian Lycurgus Painter                       Terracotta"
154107,155,Terracotta amphora (jar),Greek and Roman Art,"Greek, Attic",Andokides|Andokides Painter|Lysippides Painter,          |          |          ,          |          |          ,Terracotta,"Greek and Roman Art Greek, Attic Andokides|Andokides Painter|Lysippides Painter           |          |                     |          |           Terracotta"
154222,151,Marble female figure,Greek and Roman Art,Cycladic,Bastis Master,          ,          ,Marble,Greek and Roman Art Cycladic Bastis Master                       Marble
154858,159,Terracotta lekythos (oil flask),Greek and Roman Art,"Greek, Attic",Achilles Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, Attic Achilles Painter                       Terracotta"
154880,162,"Statue of Dionysos leaning on a female figure (""Hope Dionysos"")",Greek and Roman Art,Roman,"Pacetti, Vincenzo",          ,          ,Marble,"Greek and Roman Art Roman Pacetti, Vincenzo                       Marble"
155405,152,Terracotta dinos (mixing bowl),Greek and Roman Art,"Greek, Corinthian",Polyteleia Painter,          ,          ,Terracotta,"Greek and Roman Art Greek, Corinthian Polyteleia Painter                       Terracotta"
335631,684,Alto Recorder in F,Musical Instruments,German,Johann Benedikt Gahn,1674      ,1711      ,Ivory,Musical Instruments German Johann Benedikt Gahn 1674       1711       Ivory
335634,684,Soprano Recorder in B,Musical Instruments,Dutch,Thomas Coenraet Boekhout,1666      ,1715      ,"Ebony, ivory","Musical Instruments Dutch Thomas Coenraet Boekhout 1666       1715       Ebony, ivory"
335647,681,Ennanga,Musical Instruments,Ganda people,Ganda,          ,          ,"Wood, vegetal fiber, snake skin, hide","Musical Instruments Ganda people Ganda                       Wood, vegetal fiber, snake skin, hide"
335777,680,Natural Trumpet in D,Musical Instruments,German,Andreas Naeplaesnigg,1780      ,1800      ,"Brass, colored rock","Musical Instruments German Andreas Naeplaesnigg 1780       1800       Brass, colored rock"
335881,684,Grand Piano,Musical Instruments,Italian (Florence),Bartolomeo Cristofori,1655      ,1731      ,"Cypress, boxwood, paint, leather, fir","Musical Instruments Italian (Florence) Bartolomeo Cristofori 1655       1731       Cypress, boxwood, paint, leather, fir"
335894,681,O-daiko,Musical Instruments,Japanese,Kodenji Hayashi,1831      ,1915      ,"Wood, metal, cloisonné, hide, silk, padding","Musical Instruments Japanese Kodenji Hayashi 1831       1915       Wood, metal, cloisonné, hide, silk, padding"
336452,681,Harpsichord,Musical Instruments,Italian (Roman),Michele Todini|Basilio Onofri|Jacob Reiff,1616      |1650      |1650      ,1690      |1700      |1700      ,"Wood, gilt, ebony, ivory, parchment","Musical Instruments Italian (Roman) Michele Todini|Basilio Onofri|Jacob Reiff 1616      |1650      |1650       1690      |1700      |1700       Wood, gilt, ebony, ivory, parchment"
336819,684,Tsii' Edo' Ai (fiddle),Musical Instruments,Native American (Apache),Athabascan Family,          ,          ,"Agave flower stalk, wood, paint, horsehair","Musical Instruments Native American (Apache) Athabascan Family                       Agave flower stalk, wood, paint, horsehair"
337065,684,"""The Antonius"" Violin",Musical Instruments,Italian (Cremona),Antonio Stradivari,1644      ,1737      ,"Maple, spruce, ebony","Musical Instruments Italian (Cremona) Antonio Stradivari 1644       1737       Maple, spruce, ebony"
337067,681,"""The Francesca"" Violin",Musical Instruments,Italian (Cremona),Antonio Stradivari,1644      ,1737      ,"Maple, spruce, ebony, mother of pearl","Musical Instruments Italian (Cremona) Antonio Stradivari 1644       1737       Maple, spruce, ebony, mother of pearl"
337100,684,"""The Gould"" Violin",Musical Instruments,Italian (Cremona),Antonio Stradivari,1644      ,1737      ,"Maple, spruce, ebony","Musical Instruments Italian (Cremona) Antonio Stradivari 1644       1737       Maple, spruce, ebony"
337101,684,Grand Pianoforte,Musical Instruments,British,Érard|George Henry Blake,1780      |          ,1959      |          ,"Satinwood veneer, oak, spruce, iron, steel, ebony, ivory, gilding, mother-of-pearl, holly, mahogany, burl walnut, tulipwood, silver wire","Musical Instruments British Érard|George Henry Blake 1780      |           1959      |           Satinwood veneer, oak, spruce, iron, steel, ebony, ivory, gilding, mother-of-pearl, holly, mahogany, burl walnut, tulipwood, silver wire"
337115,684,Kora,Musical Instruments,"Mandinka people, Senegambia",Mamadou Kouyaté (d. 1991)  (bridge by Djimo Kouyaté),          ,          ,"Gourd, goat skin, antelope-hide, ebony, metal, wood","Musical Instruments Mandinka people, Senegambia Mamadou Kouyaté (d. 1991)  (bridge by Djimo Kouyaté)                       Gourd, goat skin, antelope-hide, ebony, metal, wood"
337155,681,Guitar,Musical Instruments,Italian,Giacomo (Jacob) Ertel,1646      ,1711      ,"Spruce, ebony, fruitwood, bone, ivory, mother-of-pearl, parchment","Musical Instruments Italian Giacomo (Jacob) Ertel 1646       1711       Spruce, ebony, fruitwood, bone, ivory, mother-of-pearl, parchment"
337199,681,Chongak Kayagum,Musical Instruments,Korean,Kim Kwang Ju,          ,          ,"Wood, silk, cotton","Musical Instruments Korean Kim Kwang Ju                       Wood, silk, cotton"
337212,684,Viola da Gamba,Musical Instruments,British,Richard Meares,1647      ,1725      ,"Spruce, ebony, maple","Musical Instruments British Richard Meares 1647       1725       Spruce, ebony, maple"
337257,684,Clavichord,Musical Instruments,German,Christian Kintzing,1707      ,1804      ,"Wood, ebony, bone, walnut, paint, metal","Musical Instruments German Christian Kintzing 1707       1804       Wood, ebony, bone, walnut, paint, metal"
337268,684,Guitar,Musical Instruments,German,Hermann Hauser,1882      ,1952      ,"Spruce, rosewood, mahogany, bone or ivory, ebony","Musical Instruments German Hermann Hauser 1882       1952       Spruce, rosewood, mahogany, bone or ivory, ebony"
337269,681,Guitar,Musical Instruments,Spanish,Manuel Ramírez|Santos Hernández,1864      |1874      ,1916      |1943      ,"Spruce, rosewood, cedar, ebony, ivory or bone","Musical Instruments Spanish Manuel Ramírez|Santos Hernández 1864      |1874       1916      |1943       Spruce, rosewood, cedar, ebony, ivory or bone"
337371,684,Guitar,Musical Instruments,Italian,Matteo Sellas,1599      ,1654      ,"Spruce, bone, parchment, snakewood, ivory","Musical Instruments Italian Matteo Sellas 1599       1654       Spruce, bone, parchment, snakewood, ivory"
337419,684,Violin,Musical Instruments,German,Joachim Tielke,1641      ,1719      ,"Spruce, maple","Musical Instruments German Joachim Tielke 1641       1719       Spruce, maple"
337478,681,Accordion,Musical Instruments,French,Alexandre Pere & Fils,          ,          ,"Wood, metal, mastic, brass, tortoiseshell, gilt brass, mother-of-pearl, silver foil","Musical Instruments French Alexandre Pere & Fils                       Wood, metal, mastic, brass, tortoiseshell, gilt brass, mother-of-pearl, silver foil"
337493,684,"ex ""Kurtz"" Violin",Musical Instruments,Italian (Cremona),Andrea Amati,1505      ,1578      ,"Spruce, maple, ebony, paint, gilding","Musical Instruments Italian (Cremona) Andrea Amati 1505       1578       Spruce, maple, ebony, paint, gilding"
337499,684,Guqin (古琴 ),Musical Instruments,Chinese,Prince Lu,1628      ,1644      ,"Wood (wutong and zi), silk, jade, lacquer, mother-of-pearl","Musical Instruments Chinese Prince Lu 1628       1644       Wood (wutong and zi), silk, jade, lacquer, mother-of-pearl"
337504,681,Bassoon,Musical Instruments,French,Dominique Antony Porthaux,1751      ,1839-02-03,"Maple, brass","Musical Instruments French Dominique Antony Porthaux 1751       1839-02-03 Maple, brass"
337505,684,Sitar,Musical Instruments,Indian,Murari Adhikari,1934      ,2006      ,"Teak, ebony, metal, bone, various materials","Musical Instruments Indian Murari Adhikari 1934       2006       Teak, ebony, metal, bone, various materials"
337506,684,Musical Clock with Spinet and Organ,Musical Instruments,German,Veit Langenbucher|Samuel Bidermann,1587      |1540      ,1631      |1622      ,"Ebony, gliding, brass, silver gilt, gilt brass, iron, various wood and metals, wire, parchment and leather","Musical Instruments German Veit Langenbucher|Samuel Bidermann 1587      |1540       1631      |1622       Ebony, gliding, brass, silver gilt, gilt brass, iron, various wood and metals, wire, parchment and leather"
337521,680,Cornet à Pistons in B-flat,Musical Instruments,French,Courtois frères,          ,          ,"Brass, touch pieces of ivory","Musical Instruments French Courtois frères                       Brass, touch pieces of ivory"
337586,684,Archlute,Musical Instruments,Italian,David Tecchler,1666      ,1747      ,"Spruce, ebony, ivory, tortoiseshell, mother-of-pearl","Musical Instruments Italian David Tecchler 1666       1747       Spruce, ebony, ivory, tortoiseshell, mother-of-pearl"
337588,684,Bassoon,Musical Instruments,Italian,Giosue Esposito,1866      ,1899      ,"Maple, nickel-silver","Musical Instruments Italian Giosue Esposito 1866       1899       Maple, nickel-silver"
337639,684,Clarinet in B-flat,Musical Instruments,Belgian,Charles Joseph Sax,1790-02-01,1865-04-26,"Ivory, brass, gold-plated silver","Musical Instruments Belgian Charles Joseph Sax 1790-02-01 1865-04-26 Ivory, brass, gold-plated silver"
337640,683,Pipe Organ,Musical Instruments,American,Thomas Appleton,1785-12-26,1872-07-11,"Mahogany veneer, rosewood veneer, pine, gilt, ivory, ebony, maple, walnut, chestnut, metal","Musical Instruments American Thomas Appleton 1785-12-26 1872-07-11 Mahogany veneer, rosewood veneer, pine, gilt, ivory, ebony, maple, walnut, chestnut, metal"
337643,684,Oboe in C,Musical Instruments,Dutch,Hendrik Richters,1683      ,1727-10-20,"Ebony, ivory, silver","Musical Instruments Dutch Hendrik Richters 1683       1727-10-20 Ebony, ivory, silver"
337645,684,Mandolin,Musical Instruments,American,Angelo Mannello,1858      ,1922      ,"Spruce, tortoiseshell, ivory, nickel-silver, metal,","Musical Instruments American Angelo Mannello 1858       1922       Spruce, tortoiseshell, ivory, nickel-silver, metal,"
337648,736,Square Piano,Musical Instruments,American,Robert Nunns|John Clark,1791      |1833      ,1869      |1858      ,"Rosewood, mother-of-pearl, tortoiseshell, abalone, felt, metal, paint, gilding","Musical Instruments American Robert Nunns|John Clark 1791      |1833       1869      |1858       Rosewood, mother-of-pearl, tortoiseshell, abalone, felt, metal, paint, gilding"
337673,684,Jagdhorn in G,Musical Instruments,German,Jacob Schmidt,1642-11-09,1720-03-26,Brass,Musical Instruments German Jacob Schmidt 1642-11-09 1720-03-26 Brass
337856,684,Guitar,Musical Instruments,French,Jean-Baptiste Voboam,          ,          ,"Spruce, tortoiseshell, mother-of-pearl, ivory, ebony","Musical Instruments French Jean-Baptiste Voboam                       Spruce, tortoiseshell, mother-of-pearl, ivory, ebony"
337892,684,Natural Trumpet,Musical Instruments,German,Johann Wilhelm Haas,1649      ,1723      ,Brass,Musical Instruments German Johann Wilhelm Haas 1649       1723       Brass
338123,684,Cittern,Musical Instruments,German,Joachim Tielke,1641      ,1719      ,"Cypress, ivory, ebony, parchment, brass","Musical Instruments German Joachim Tielke 1641       1719       Cypress, ivory, ebony, parchment, brass"
338188,681,English Horn,Musical Instruments,German,H. Grenser,          ,          ,"Wood, ivory, brass","Musical Instruments German H. Grenser                       Wood, ivory, brass"
338385,684,Walking-Stick Flute/Oboe,Musical Instruments,German,Georg Henrich Scherer,1703-11-17,1778-05-11,"Narwhal (narwhahl) tusk, ivory, gilt brass
","Musical Instruments German Georg Henrich Scherer 1703-11-17 1778-05-11 Narwhal (narwhahl) tusk, ivory, gilt brass
"
339340,684,Koto (箏),Musical Instruments,Japanese,"Metalwork by Goto Teijo, 9th generation Goto master, Japan|Gotō Yūjō",1603      |1415      ,1673      |1537      ,"Various woods, ivory and tortoiseshell inlays, gold and silver inlays, metalwork, cloth, laquer, paper,","Musical Instruments Japanese Metalwork by Goto Teijo, 9th generation Goto master, Japan|Gotō Yūjō 1603      |1415       1673      |1537       Various woods, ivory and tortoiseshell inlays, gold and silver inlays, metalwork, cloth, laquer, paper,"
339430,684,Portrait of Monsieur Aublet,Musical Instruments,French,Guillaume Voiriot,1713      ,1799      ,Oil on canvas,Musical Instruments French Guillaume Voiriot 1713       1799       Oil on canvas
339478,684,Viola d'Amore,Musical Instruments,Italian,Giovanni Grancino,1637      ,1709      ,"Spruce, maple, ebony, bone, iron","Musical Instruments Italian Giovanni Grancino 1637       1709       Spruce, maple, ebony, bone, iron"
371079,749,The Entombment of Christ,The American Wing,Mexican,Juan Rodríguez Juárez,1675      ,1728      ,Oil and gold on copper,The American Wing Mexican Juan Rodríguez Juárez 1675       1728       Oil and gold on copper
372973,749,The Virgin of Guadalupe with the Four Apparitions,The American Wing,Mexican,Nicolás Enríquez,1704      ,1795      ,Oil on copper,The American Wing Mexican Nicolás Enríquez 1704       1795       Oil on copper
374243,706,Hand mirror,The American Wing,American,Eda Lord Dixon,1876      ,1926      ,"Silver, ivory, enamel, and glass","The American Wing American Eda Lord Dixon 1876       1926       Silver, ivory, enamel, and glass"
376865,746,Woman’s Dress and Accessories,The American Wing,Hunkpapa Lakota (Teton Sioux),Jodi Archambault,1969      ,9999      ,"Tanned and commercial leather, glass and metal beads, cotton, silk, dentalium shell, metal cones, horsehair, plastic, bone, brass bells, porcupine quills, coins","The American Wing Hunkpapa Lakota (Teton Sioux) Jodi Archambault 1969       9999       Tanned and commercial leather, glass and metal beads, cotton, silk, dentalium shell, metal cones, horsehair, plastic, bone, brass bells, porcupine quills, coins"
391240,774,Decanter with stopper,The American Wing,American,Brooklyn Flint Glass Company|Joseph Stouvenel and Company (1851-1857),1824      |          ,1868      |          ,Blue-cut-to-clear glass,The American Wing American Brooklyn Flint Glass Company|Joseph Stouvenel and Company (1851-1857) 1824      |           1868      |           Blue-cut-to-clear glass
391630,766,Cupid,The American Wing,American,Frederick William MacMonnies,1863      ,1937      ,"Ivory, lapis lazuli, marble, bloodstone, bronze, silver alloy, gold, translucent enamels, wood","The American Wing American Frederick William MacMonnies 1863       1937       Ivory, lapis lazuli, marble, bloodstone, bronze, silver alloy, gold, translucent enamels, wood"
391991,706,Snake Jug,The American Wing,American,Wallace Kirkpatrick|Anna Pottery|Cornwall Kirkpatrick,1828      |1859      |1814      ,1896      |1896      |1890      ,Salt-glazed stoneware with cobalt decoration,The American Wing American Wallace Kirkpatrick|Anna Pottery|Cornwall Kirkpatrick 1828      |1859      |1814       1896      |1896      |1890       Salt-glazed stoneware with cobalt decoration
394751,762,Untitled (Cracked Watermelon),The American Wing,American,Charles Ethan Porter,1847      ,1923      ,Oil on canvas,The American Wing American Charles Ethan Porter 1847       1923       Oil on canvas
400483,759,Hiawatha,The American Wing,American,Edmonia Lewis,1844      ,1907      ,Marble,The American Wing American Edmonia Lewis 1844       1907       Marble
400485,759,Minnehaha,The American Wing,American,Edmonia Lewis,1844      ,1907      ,Marble,The American Wing American Edmonia Lewis 1844       1907       Marble
404670,770,"The Trees, Early Afternoon, France",The American Wing,American,William A. Harper,1873      ,1910      ,Oil on canvas,The American Wing American William A. Harper 1873       1910       Oil on canvas
406482,706,Crown Milano Covered Ewer,The American Wing,American,Mount Washington Glass Company,1837      ,1958      ,"Glass, blown, painted, jeweled, and gilded","The American Wing American Mount Washington Glass Company 1837       1958       Glass, blown, painted, jeweled, and gilded"
408826,751,Figure of a Lion,The American Wing,American,John Bell,1800      ,1880      ,Earthenware,The American Wing American John Bell 1800       1880       Earthenware
